id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600313,"Kementerian Koordinator Bidang Politik, Hukum dan Keamanan",2.09,1.89,2.57
i2023110600078,Kementerian Koordinator Bidang Perekonomian,2.7,3.25,3.25
i2023110600001,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,2.72,2.61,3.07
i2023110600079,Kementerian Koordinator Bidang Kemaritiman,1.8,2.07,2.07
i2023110600004,Kementerian Dalam Negeri,3.16,3.2,3.2
i2023110600005,Kementerian Luar Negeri,3.51,3.37,3.37
i2023110600315,Kementerian Pertahanan,2.24,2.24,2.74
i2023110600086,Kementerian Agama,2.72,2.72,2.69
i2023110600006,Kementerian Hukum dan Hak Asasi Manusia,3.3,3.18,3.18
i2023110600083,Kementerian Keuangan,4.53,4.39,4.39
i2023110600084,Kementerian Pendidikan dan Kebudayaan,3.53,3.4,3.4
i2023110600085,Kementerian Kesehatan,2.13,2.2,2.82
i2023110600087,Kementerian Sosial,3.04,3.04,2.73
i2023110600010,Kementerian Ketenagakerjaan,2.4,3.29,3.29
i2023110600316,Kementerian Perindustrian,3.08,2.86,2.86
i2023110600011,Kementerian Perdagangan,3.45,3.34,3.34
i2023110600008,Kementerian Energi dan Sumber Daya Mineral,3.44,3.8,3.8
i2023110600091,Kementerian Pekerjaan Umum & Perumahan Rakyat,3.85,3.85,3.85
i2023110600009,Kementerian Perhubungan,3.71,4.31,4.31
i2023110600090,Kementerian Komunikasi dan Informatika,3.53,3.71,3.71
i2023110600007,Kementerian Pertanian,3.05,3.34,3.34
i2023110600088,Kementerian Lingkungan Hidup dan Kehutanan,3.43,3.61,3.61
i2023110600089,Kementerian Kelautan dan Perikanan,3.36,3.57,3.57
i2023110600082,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi",3.16,3.19,3.19
i2023110600014,Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,2.23,2.6,2.6
i2023110600102,Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional,3.18,3.23,3.23
i2023110600081,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,3.25,3.09,3.09
i2023110600080,Kementerian Badan Usaha Milik Negara,3.07,2.94,2.94
i2023110600002,Kementerian Koperasi dan Usaha Kecil dan Menengah,2.15,2.15,2.67
i2023110600092,Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif,3.71,3.73,3.73
i2023110600003,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,2.34,3.05,3.05
i2023110600314,Kementerian Pemuda dan Olahraga,1.37,1.23,1.88
i2023110600093,Kementerian Sekretariat Negara,3.42,3.68,3.68
i2023110600103,Arsip Nasional Republik Indonesia,2.28,2.18,3.04
i2023110600623,Badan Ekonomi Kreatif,2.03,2.03,2.03
i2023110600104,Badan Informasi Geospasial,3.23,3.11,3.11
i2023110600098,Badan Kepegawaian Negara,2.72,2.84,2.84
i2023110600624,Badan Kependudukan dan KB Nasional,2.82,2.64,2.83
i2023110600625,Badan Koordinasi Keamanan Laut,2.24,2.28,2.43
i2023110600626,Badan Koordinasi Penanaman Modal,2.18,2.33,3.38
i2023110600322,"Badan Meteorologi, Klimatologi dan Geofisika",2.88,3.01,3.01
i2023110600112,Badan Narkotika Nasional,1.97,2.28,2.9
i2023110600114,Badan Nasional Penanggulangan Bencana,2.61,2.61,3.24
i2023110600326,Badan Nasional Penanggulangan Terorisme,1.54,1.54,1.99
i2023110600119,Badan Nasional Pencarian Dan Pertolongan,2.23,2.48,2.97
i2023110600627,Badan Nasional Penempatan Perlindungan TKI,3.32,3.33,3.33
i2023110600110,Badan Pengawas Obat dan Makanan,2.44,3.68,3.68
i2023110600109,Badan Pengawas Tenaga Nuklir,3.95,3.71,3.71
i2023110600108,Badan Pengawasan Keuangan dan Pembangunan,2.5,2.7,3.37
